#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
413,Joel Anthony,DET,6,3,0.2,0.3,0.5,0,0,0,0.5,0.7,0.75,0.2,0.3,0.5,0.5,1,0.2,0.3,0.2,0.8,0.20
414,Carmelo Anthony,NYK,25,34.2,7.4,18.1,0.412,1.6,4.7,0.347,5.2,6.2,0.844,2.6,2.6,1.4,6.1,7.5,3.5,1,0.6,21.7,0.61
415,Giannis Antetokounmpo,MIL,26,33.5,5.8,11.6,0.497,0.4,1.4,0.297,3.5,4.2,0.833,2.4,3.5,1.2,5.5,6.8,2.9,0.8,1.1,15.4,0.40
416,Ryan Anderson,NOP,23,32.4,6.4,14.6,0.442,2,5.4,0.376,3.3,3.7,0.884,1.7,1.8,2.3,4.4,6.7,1.1,0.6,0.4,18.2,0.50
417,Kyle Anderson,SAS,27,12.5,1,2.5,0.418,0.1,0.3,0.444,0.7,1.1,0.633,0.5,1,0.1,2,2.1,1,0.4,0.4,2.9,0.24
418,Justin Anderson,DAL,17,6.4,0.8,2.2,0.378,0.2,1.1,0.211,0.2,0.5,0.5,0.5,0.4,0.1,1,1.1,0.2,0.1,0.1,2.1,0.38
419,James Anderson,SAC,14,8.7,0.6,2.5,0.257,0.5,1.5,0.333,0.6,0.6,0.889,0.7,0.6,0.1,0.6,0.8,0.4,0.3,0.1,2.4,0.32
420,Chris Andersen,MIA,3,5.6,0.7,0.7,1,0.3,0.3,1,0.3,0.7,0.5,0.7,0.3,0.3,1.3,1.7,0.3,0,0,2,0.18
421,Lou Amundson,NYK,11,8.9,1.2,2.4,0.5,0,0,0,0.6,1.5,0.438,0.2,1.8,0.7,1.5,2.2,0.4,0.5,0.3,3,0.34
422,Al-Farouq Aminu,POR,27,30.6,3.8,9.7,0.388,1.4,4.1,0.348,1.7,2.3,0.726,1.8,2.3,1.3,5.7,7,1.7,0.7,0.7,10.7,0.35
423,Tony Allen,MEM,24,21.3,2.6,6.4,0.403,0.2,0.7,0.25,0.6,1,0.583,0.9,2.6,1.4,2.2,3.6,1,1.5,0.2,5.9,0.32
424,Lavoy Allen,IND,23,20.2,2.2,5.2,0.429,0,0,0,0.4,0.7,0.6,1,1.7,2,3.4,5.4,1.2,0.3,0.5,4.8,0.27
425,Cliff Alexander,POR,6,5.1,0.8,1.7,0.5,0,0,0,0,0,0,0.2,0,0.3,0.7,1,0,0.2,0.3,1.7,0.33
426,LaMarcus Aldridge,SAS,25,29.3,6.4,13.6,0.469,0,0.3,0,3,3.6,0.813,1.5,1.9,2.5,6.1,8.6,1.3,0.2,1.1,15.7,
427,Cole Aldrich,LAC,5,3.4,0.4,0.6,0.667,0,0,0,0.2,0.4,0.5,0.4,0.6,0.2,0.8,1,0,0,0,1,
428,Alexis Ajinca,NOP,21,12.8,2.4,4.7,0.515,0,0,0,0.4,0.4,0.889,0.7,2.3,1.2,2.8,4,0.3,0.2,0.5,5.2,
429,Arron Afflalo,NYK,18,30.7,5.5,11.5,0.478,1.2,3.6,0.328,1.4,1.7,0.806,0.9,2.4,0.3,3.4,3.7,1.7,0.2,0.1,13.6,
430,Steven Adams,OKC,26,24,2.5,4.5,0.564,0,0,0,1.2,2,0.588,0.8,3,2.5,3.5,6,0.7,0.3,1.3,6.2,
431,Jordan Adams,MEM,2,7.3,1,3,0.333,0,0.5,0,1.5,2.5,0.6,1,1,0,1,1,1.5,1.5,0,3.5,
432,Quincy Acy,SAC,12,9.4,0.8,1.8,0.455,0.2,0.4,0.4,0.2,0.5,0.5,0.3,1.2,0.6,1.1,1.7,0.5,0.2,0.2,2.1,
