#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
417,Kyle Anderson,SAS,25,12.2,1,2.5,0.387,0.2,0.4,0.444,0.6,1,0.625,0.5,0.9,0.2,2.1,2.2,1,0.5,0.4,2.7,0.24
418,Justin Anderson,DAL,16,6.4,0.9,2.1,0.424,0.2,1,0.25,0.2,0.5,0.5,0.5,0.4,0.1,1.1,1.2,0.2,0.1,0.1,2.2,0.36
419,James Anderson,SAC,13,9.2,0.7,2.6,0.265,0.5,1.6,0.333,0.6,0.7,0.889,0.8,0.6,0.2,0.7,0.8,0.4,0.3,0.1,2.5,0.31
420,Chris Andersen,MIA,3,5.6,0.7,0.7,1,0.3,0.3,1,0.3,0.7,0.5,0.7,0.3,0.3,1.3,1.7,0.3,0,0,2,0.18
421,Lou Amundson,NYK,11,8.9,1.2,2.4,0.5,0,0,0,0.6,1.5,0.438,0.2,1.8,0.7,1.5,2.2,0.4,0.5,0.3,3,0.34
422,Al-Farouq Aminu,POR,25,31.2,3.8,9.9,0.389,1.4,4.2,0.34,1.8,2.5,0.726,1.8,2.4,1.3,5.7,7,1.8,0.8,0.7,10.9,0.35
423,Tony Allen,MEM,24,21.3,2.6,6.4,0.403,0.2,0.7,0.25,0.6,1,0.583,0.9,2.6,1.4,2.2,3.6,1,1.5,0.2,5.9,0.32
424,Lavoy Allen,IND,21,19.8,2.1,5.1,0.411,0,0,0,0.3,0.6,0.538,1,1.9,1.9,3.4,5.2,1,0.4,0.5,4.5,0.27
425,Cliff Alexander,POR,6,5.1,0.8,1.7,0.5,0,0,0,0,0,0,0.2,0,0.3,0.7,1,0,0.2,0.3,1.7,0.33
426,LaMarcus Aldridge,SAS,23,29.4,6.4,13.8,0.464,0,0.3,0,2.9,3.6,0.795,1.6,1.9,2.6,6.2,8.7,1.4,0.2,1.2,15.7,
427,Cole Aldrich,LAC,5,3.4,0.4,0.6,0.667,0,0,0,0.2,0.4,0.5,0.4,0.6,0.2,0.8,1,0,0,0,1,
428,Alexis Ajinca,NOP,19,13.3,2.6,4.9,0.532,0,0,0,0.4,0.5,0.889,0.7,2.3,1.3,3,4.3,0.4,0.2,0.5,5.7,
429,Arron Afflalo,NYK,17,30.5,5.3,11.4,0.466,1.1,3.5,0.305,1,1.3,0.773,0.9,2.5,0.4,3.4,3.8,1.8,0.2,0.1,12.6,
430,Steven Adams,OKC,23,23.6,2.4,4.3,0.56,0,0,0,1.1,2,0.553,0.7,2.8,2.4,3.4,5.8,0.8,0.4,1.3,6,
431,Jordan Adams,MEM,2,7.3,1,3,0.333,0,0.5,0,1.5,2.5,0.6,1,1,0,1,1,1.5,1.5,0,3.5,
432,Quincy Acy,SAC,11,10.2,0.9,1.9,0.476,0.2,0.4,0.5,0.3,0.5,0.5,0.4,1.3,0.6,1.2,1.8,0.5,0.3,0.2,2.3,
